"PatientID","Diagnosis","Breed","Age","Sex","Neutered","WeightChange","Weight","Hospitalised","HeartRate","Temperature","Vomiting","Diarrhoea","Hepatomegaly","ThinDrySkin","Alopecia","Pruritus","MuscleWastageWeakness","Lethargy","Panting","Neurological","Polydipsia","Polyuria","IncreasedALKP","IncreasedATL/GGT/AST","LowUSG","Proteinuria","Hypertensive","LowBloodSugar","Hypothyroid","CruciateSurgery"
1,"1","Jack Russell Terrier",12,"M",True,"No change",13,False,NULL,NULL,False,False,False,True,False,False,False,False,False,False,True,True,"True","True",NULL,True,False,False,False,False
2,"1","Bichon Frise",12,"F",True,"No change",9.3,False,NULL,39.2,False,False,False,False,False,False,False,False,True,False,True,True,"True","True","True",True,False,False,False,False
3,"1","West Highland White Terrier",13,"F",True,"No change",9.82,False,NULL,NULL,False,False,True,True,False,False,False,False,False,False,True,True,"True","True","False",True,False,False,False,False
4,"1","Cocker Spaniel",12,"F",True,"No change",11.3,True,120,39.2,False,False,True,False,False,False,False,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
5,"1","Crossbreed",9,"F",False,"No change",9.3,False,96,37.4,False,True,True,False,False,False,False,True,False,False,True,True,"True","True","True",True,False,False,False,False
6,"1","Border Terrier",17,"M",True,"No change",NULL,False,NULL,NULL,False,False,True,False,False,False,True,False,False,True,True,True,NULL,NULL,NULL,NULL,False,False,False,False
7,"1","Labrador Retriever",11,"F",True,"Weight gain",33.2,True,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,False,NULL,NULL,NULL,NULL,False,False,True,False
8,"1","Crossbreed",13,"F",False,"No change",12.4,False,NULL,NULL,False,False,True,False,False,False,False,False,True,True,False,False,"True","True",NULL,NULL,False,False,False,False
9,"1","Weimeraner",10,"F",False,"No change",39.75,False,120,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
10,"1","Staffordshire Bull Terrier",11,"F",True,"No change",20.3,False,NULL,NULL,False,False,True,False,False,False,True,False,True,False,True,False,NULL,NULL,NULL,NULL,False,False,False,False
11,"1","Schnauzer",8,"F",False,"No change",9.1,False,NULL,NULL,False,False,False,False,False,False,False,True,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
12,"1","Crossbreed",6,"M",False,"Weight loss",58,False,NULL,NULL,False,False,True,True,True,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
13,"1","Shih Tzu",13,"F",True,"No change",12.3,False,100,39.2,False,False,False,False,False,False,False,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
14,"1","Border Terrier",7,"F",True,"No change",10.8,True,120,38.8,True,False,False,False,False,False,False,True,True,False,False,False,"True",NULL,NULL,NULL,False,True,False,False
15,"1","Staffordshire Bull Terrier",11,"M",False,"Weight gain",26.5,True,NULL,NULL,False,False,True,False,False,False,False,False,False,False,True,True,"True","True","True",True,False,False,False,False
16,"1","Crossbreed",14,"M",False,"Weight gain",16.2,False,130,38.1,False,False,True,False,False,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
17,"1","Crossbreed",14,"M",True,"No change",16.3,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",True,False,False,False,False
18,"1","Fox Terrier",9,"F",True,"No change",10.6,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",True,False,False,False,False
19,"1","Staffordshire Bull Terrier",10,"M",False,"Weight loss",17.8,False,120,NULL,False,False,True,False,True,False,True,False,True,False,False,False,"True","False",NULL,NULL,False,False,False,False
20,"1","Scottish Terrier",8,"M",True,"No change",15.25,True,100,38.1,False,False,True,False,False,False,False,True,False,False,True,True,"True","True","True",True,False,False,False,False
21,"1","Basset Griffon Vendeen Grand",10,"M",True,"Weight loss",17,False,120,38.5,False,False,False,False,False,False,False,True,False,False,True,True,"True","True","True",False,False,False,False,False
22,"1","Jack Russell Terrier",13,"M",True,"No change",8.82,False,NULL,38.2,False,False,False,False,True,False,False,True,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
23,"1","West Highland White Terrier",13,"M",True,"No change",10.3,False,NULL,NULL,False,True,True,False,False,False,True,False,False,False,True,True,"True","True",NULL,True,False,False,False,False
