PatientID,Diagnosis,BreedID,Breed,Age,Sex,Neutered,WeightChange,Weight,Hospitalised,HeartRate,Temperature,Vomiting,Diarrhoea,Hepatomegaly,ThinDrySkin,Alopecia,Pruritus,MuscleWastageWeakness,Lethargy,Panting,Neurological,Polydipsia,Polyuria,IncreasedALKP,IncreasedATL/GGT/AST,LowUSG,Proteinuria,Hypertensive,LowBloodSugar,Hypothyroid,CruciateSurgery
1,1,15009,Jack Russell Terrier,12,M,True,False,13.0,False,,,False,False,False,True,False,False,False,False,False,False,True,True,True,True,,True,False,False,False,False
2,1,13714,Bichon Frise,12,F,True,False,9.3,False,,39.2,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False
3,1,15086,West Highland White Terrier,13,F,True,No change,9.82,False,,,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False
4,1,14846,Cocker Spaniel,12,F,True,False,11.3,True,120.0,39.2,False,False,True,False,False,False,False,False,True,False,True,True,,,,,False,False,False,False
5,1,99999,Crossbreed,9,F,False,False,9.3,False,96.0,37.4,False,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False
6,1,14962,Border Terrier,17,M,True,False,,False,,,False,False,True,False,False,False,True,False,False,True,True,True,,,,,False,False,False,False
7,1,14631,Labrador Retriever,11,F,True,Weight gain,33.2,True,,,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False,True,False
8,1,99999,Crossbreed,13,F,False,False,12.4,False,,,False,False,True,False,False,False,False,False,True,True,False,False,True,True,,,False,False,False,False
9,1,15122,Weimeraner,10,F,False,False,39.75,False,120.0,,False,False,False,False,False,False,False,False,False,False,True,True,,,,,False,False,False,False
10,1,15076,Staffordshire Bull Terrier,11,F,True,False,20.3,False,,,False,False,True,False,False,False,True,False,True,False,True,False,,,,,False,False,False,False
11,1,14672,Schnauzer,8,F,False,False,9.1,False,,,False,False,False,False,False,False,False,True,False,False,False,False,True,True,,,False,False,False,False
12,1,99999,Crossbreed,6,M,False,Weight loss,58.0,False,,,False,False,True,True,True,False,False,False,False,False,True,True,,,,,False,False,False,False
13,1,14833,Shih Tzu,13,F,True,False,12.3,False,100.0,39.2,False,False,False,False,False,False,False,False,True,False,True,True,,,,,False,False,False,False
14,1,14962,Border Terrier,7,F,True,False,10.8,True,120.0,38.8,True,False,False,False,False,False,False,True,True,False,False,False,True,,,,False,True,False,False
15,1,15076,Staffordshire Bull Terrier,11,M,False,Weight gain,26.5,True,,,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
16,1,,Crossbreed,14,M,False,Weight gain,16.2,False,130.0,38.1,False,False,True,False,False,False,False,False,False,False,True,True,,,,,False,False,False,False
17,1,99999,Crossbreed,14,M,True,False,16.3,False,,,False,False,False,False,False,False,False,False,False,False,True,True,,,True,True,False,False,False,False
